rank,title,rating,release_year
14,Cowboy Bebop,4.65,1998
15,The Ministry of Ungentlemanly Warfare,3.15,2024
16,Rocky IV,3.63,1985
17,The Long Goodbye,4.18,1973
18,Kramer vs. Kramer,4.05,1979
19,Hiroshima Mon Amour,4.17,1959
20,Stoker,3.59,2013
21,Barton Fink,4.07,1991
22,The New Mutants,2.11,2020
23,We're All Going to the World's Fair,3.08,2021
24,Millennium Actress,4.23,2001
25,Cube,3.26,1997
26,Warrior,4.01,2011
27,Only God Forgives,3.01,2013
28,Lilya 4-ever,4.14,2002
29,Scary Stories to Tell in the Dark,2.76,2019
30,The Double Life of Véronique,4.12,1991
31,Poison,3.60,2023
32,Walk the Line,3.82,2005
33,Contact,3.80,1997
34,Upgraded,2.78,2024
35,Miller's Girl,1.76,2024
36,Rebecca,4.12,1940
37,Everybody Wants Some!!,3.70,2016
38,Oblivion,3.11,2013
39,Tag,3.00,2018
40,Gia,3.80,1998
41,The Age of Innocence,3.80,1993
42,The Lives of Others,4.28,2006
43,A Walk to Remember,3.31,2002
44,Manhunter,3.86,1986
45,A Cure for Wellness,3.12,2016
46,Re-Animator,3.76,1985
47,Bridge of Spies,3.59,2015
48,Orphan: First Kill,2.72,2022
49,Blow-Up,3.83,1966
50,Ricky Stanicky,2.74,2024
51,Hot Rod,3.54,2007
52,Naked,4.07,1993
53,The Great Dictator,4.32,1940
54,Serpico,3.91,1973
55,Space Jam: A New Legacy,1.85,2021
56,"Planes, Trains and Automobiles",3.77,1987
57,Central Station,4.29,1998
58,Armageddon,3.09,1998
59,Kick-Ass 2,2.75,2013
60,Beverly Hills Cop,3.61,1984
61,The Apprentice,3.59,2024
62,Halloween II,3.17,1981
63,Sick of Myself,3.73,2022
64,Philadelphia,3.92,1993
65,Mary and Max,4.24,2009
66,Final Destination 2,2.89,2003
67,Bonnie and Clyde,3.91,1967
68,Butch Cassidy and the Sundance Kid,4.15,1969
69,Insidious: Chapter 2,3.01,2013
70,This Is Spinal Tap,3.95,1984
71,Knocked Up,3.06,2007
72,Ted 2,2.75,2015
1,Uglies,1.38,2024
2,The Lego Movie 2: The Second Part,3.07,2019
3,Diary of a Wimpy Kid: Rodrick Rules,3.64,2011
4,Ingrid Goes West,3.33,2017
5,The Two Popes,3.64,2019
6,A Bronx Tale,4.03,1993
7,The Pale Blue Eye,3.08,2022
8,The Bourne Supremacy,3.60,2004
9,Tetris,3.47,2023
10,All the Bright Places,2.95,2020
11,There's Something About Mary,3.24,1998
12,Cloud Atlas,3.47,2012
13,Bombshell,3.11,2019
14,My Girl,3.67,1991
15,The Boss Baby,2.51,2017
16,Disturbia,3.10,2007
17,The Road to El Dorado,3.62,2000
18,Manhattan,3.90,1979
19,Emily the Criminal,3.30,2022
20,Short Term 12,4.17,2013
21,Harold and Maude,4.11,1971
22,The Bad Guys,3.42,2022
23,Hocus Pocus 2,2.72,2022
24,Annabelle: Creation,2.96,2017
25,The Swan,3.59,2023
26,A Streetcar Named Desire,4.00,1951
27,The Birdcage,3.86,1996
28,Idiocracy,2.96,2006
29,Into the Woods,2.70,2014
30,Talladega Nights: The Ballad of Ricky Bobby,3.30,2006
31,It,3.20,1990
32,Jujutsu Kaisen 0,3.93,2021
33,Sharp Objects,4.30,2018
34,Wayne's World,3.55,1992
35,Scary Movie 2,2.67,2001
36,Rebel Ridge,3.46,2024
37,Don't Look Now,3.80,1973
38,Blazing Saddles,3.82,1974
39,The Young Girls of Rochefort,4.31,1967
40,Pi,3.72,1998
41,Volver,4.06,2006
42,Strangers on a Train,4.06,1951
43,Brick,3.71,2005
44,Bacurau,3.91,2019
45,Annette,3.38,2021
46,Footloose,3.31,1984
47,The Haunting of Bly Manor,3.89,2020
48,The Last Temptation of Christ,3.91,1988
49,Never Let Me Go,3.49,2010
50,House of 1000 Corpses,3.19,2003
51,Am I OK?,2.99,2022
52,The Dead Don't Die,2.67,2019
53,Only Yesterday,3.93,1991
54,The Artist,3.77,2011
55,Confessions of a Shopaholic,3.13,2009
56,La Jetée,4.33,1962
57,Robin Hood,3.71,1973
58,Weird: The Al Yankovic Story,3.49,2022
59,Free Solo,4.05,2018
60,Da 5 Bloods,3.50,2020
61,The Woman in the Window,2.39,2021
62,Unfriended,2.33,2014
63,Murder Mystery 2,2.48,2023
64,Saw V,2.63,2008
65,Carlito's Way,4.05,1993
66,Midnight Mass,4.04,2021
67,Miss Americana,4.00,2020
68,Phantom of the Paradise,4.09,1974
69,Sideways,3.80,2004
70,Christopher Robin,3.52,2018
71,Three Colours: White,3.82,1994
72,Remember the Titans,3.80,2000
1,Dawn of the Dead,3.41,2004
2,The Hunt,2.98,2020
3,Resident Evil,2.91,2002
4,Host,3.20,2020
5,The Meyerowitz Stories (New and Selected),3.74,2017
6,Black Hawk Down,3.66,2001
7,Joy Ride,3.26,2023
8,Pieces of a Woman,3.51,2020
9,Demolition,3.56,2015
10,The DUFF,2.55,2015
11,The Sting,4.18,1973
12,Rocky III,3.49,1982
13,Austin Powers: The Spy Who Shagged Me,3.29,1999
14,Bad Boys: Ride or Die,3.19,2024
15,Good Boys,3.13,2019
16,The NeverEnding Story,3.57,1984
17,My Big Fat Greek Wedding,3.38,2002
18,Belle de Jour,4.00,1967
19,D.E.B.S.,3.69,2004
20,Hotel Transylvania 2,2.92,2015
21,Kiss Kiss Bang Bang,3.76,2005
22,Parallel Mothers,3.61,2021
23,Adventureland,3.29,2009
24,Pink Flamingos,3.55,1972
25,65,2.13,2023
26,Secretary,3.47,2002
27,Where Is the Friend's House?,4.35,1987
28,The Grinch,2.90,2018
29,Never Rarely Sometimes Always,3.97,2020
30,The Phantom of the Opera,3.52,2004
31,"Extremely Wicked, Shockingly Evil and Vile",3.06,2019
32,Funny Games,3.61,2007
33,The Hand of God,3.80,2021
34,End of Watch,3.74,2012
35,American Graffiti,3.73,1973
36,Lake Mungo,3.38,2008
37,Swallow,3.43,2019
38,Jeepers Creepers,3.06,2001
39,Casper,3.06,1995
40,Strange Way of Life,3.07,2023
41,Real Steel,3.32,2011
42,Ichi the Killer,3.63,2001
43,Christiane F.,3.88,1981
44,The Wonder,3.35,2022
45,One Cut of the Dead,4.06,2017
46,Entergalactic,3.73,2022
47,Coming to America,3.55,1988
48,Spaceballs,3.43,1987
49,Zathura: A Space Adventure,3.15,2005
50,Invasion of the Body Snatchers,3.94,1978
51,The Rat Catcher,3.32,2023
52,Belladonna of Sadness,3.74,1973
53,Bone Tomahawk,3.65,2015
54,Baywatch,2.23,2017
55,Wish,2.33,2023
56,Empire Records,3.53,1995
57,Eileen,3.13,2023
58,On the Waterfront,4.17,1954
59,The Boogeyman,2.66,2023
60,My Policeman,3.15,2022
61,Sorcerer,4.24,1977
62,Big Daddy,3.17,1999
63,Locke,3.60,2013
64,Sucker Punch,2.76,2011
65,Dark Waters,3.78,2019
66,Rebel Moon – Part One: A Child of Fire,2.02,2023
67,The Mummy Returns,2.99,2001
68,Tremors,3.52,1990
69,DAHMER - Monster: The Jeffrey Dahmer Story,3.61,2022
70,Tarot,1.98,2024
71,The Fall,4.14,2006
72,Kimi,3.13,2022
1,The Color Purple,3.90,1985
2,Green Lantern,1.57,2011
3,Nowhere,3.98,1997
4,Love,3.15,2015
5,The Girl on the Train,2.93,2016
6,Revenge,3.50,2017
7,Problemista,3.88,2023
8,T2 Trainspotting,3.55,2017
9,Jarhead,3.60,2005
10,Spiral: From the Book of Saw,2.06,2021
11,Cabaret,4.12,1972
12,As Good as It Gets,3.61,1997
13,Godzilla,4.05,1954
14,Bob Marley: One Love,2.94,2024
15,Goldfinger,3.78,1964
16,Bend It Like Beckham,3.40,2002
17,The Fountain,3.54,2006
18,Holidate,2.57,2020
19,Tetsuo: The Iron Man,3.87,1989
20,The Killing,3.99,1956
21,Maurice,3.87,1987
22,PlayTime,4.21,1967
23,Killer Klowns from Outer Space,3.34,1988
24,Hubie Halloween,2.20,2020
25,Red Dragon,3.41,2002
26,Guy Ritchie's The Covenant,3.53,2023
27,Fast Times at Ridgemont High,3.49,1982
28,Happy Death Day 2U,2.73,2019
29,Euphoria: Trouble Don't Last Always,4.11,2020
30,The Exorcist: Believer,2.00,2023
31,Black Mirror: San Junipero,4.14,2016
32,Sky High,3.12,2005
33,Pitch Perfect 3,2.53,2017
34,The Accountant,3.27,2016
35,A Goofy Movie,3.65,1995
36,Christine,3.50,1983
37,One Day,4.08,2024
38,Saw VI,2.87,2009
39,Ice Age: Continental Drift,2.72,2012
40,Color Out of Space,3.18,2019
41,1408,3.19,2007
42,Widows,3.55,2018
43,Apocalypto,3.81,2006
44,First Cow,3.89,2019
45,Ghostbusters II,3.15,1989
46,Cats,1.26,2019
47,Jigsaw,2.41,2017
48,Conclave,3.87,2024
49,Lights Out,2.72,2016
50,Fire of Love,4.10,2022
51,The Great Beauty,4.10,2013
52,Transformers: Age of Extinction,2.06,2014
53,The Fog,3.46,1980
54,Paul,3.07,2011
55,The Piano,3.86,1993
56,The Square,3.63,2017
57,The House Bunny,2.88,2008
58,God's Own Country,3.98,2017
59,Garden State,3.43,2004
60,Black Mirror: Joan Is Awful,3.14,2023
61,A Christmas Carol,3.15,2009
62,Marley & Me,3.34,2008
63,Andrei Rublev,4.43,1966
64,Boiling Point,4.01,2021
65,Nosferatu,No rating,2024
66,Pretty in Pink,3.31,1986
67,Sense and Sensibility,3.83,1995
68,The Pope's Exorcist,2.56,2023
69,"Argentina, 1985",3.96,2022
70,Victoria,3.93,2015
71,No Strings Attached,2.74,2011
72,Sleepaway Camp,3.21,1983
1,Deep Red,3.91,1975
2,Hostel,2.73,2005
3,A Beautiful Day in the Neighborhood,3.60,2019
4,The Social Dilemma,3.24,2020
5,The Squid and the Whale,3.70,2005
6,Underwater,2.79,2020
7,Dirty Harry,3.82,1971
8,IF,2.94,2024
9,Happiness,3.96,1998
10,The Card Counter,3.31,2021
11,Dead Ringers,3.85,1988
12,Spirit: Stallion of the Cimarron,3.80,2002
13,Passages,3.49,2023
14,The Santa Clause,3.15,1994
15,The Warriors,3.84,1979
16,Hannah Montana: The Movie,3.32,2009
17,Ghost Rider,2.37,2007
18,Camp Rock,2.71,2008
19,Elysium,2.91,2013
20,Gentlemen Prefer Blondes,3.83,1953
21,Band of Brothers,4.70,2001
22,Little Women,3.83,1994
23,Revolutionary Road,3.57,2008
24,Remember Me,3.13,2010
25,Falling Down,3.69,1993
26,Not Another Teen Movie,2.75,2001
27,Star Trek Beyond,3.27,2016
28,Letters to Juliet,3.20,2010
29,Nobody Knows,4.37,2004
30,Dracula,3.55,1931
31,Un Chien Andalou,3.87,1929
32,Aquamarine,3.26,2006
33,Ruby Sparks,3.58,2012
34,A Christmas Story,3.57,1983
35,Sympathy for Mr. Vengeance,3.98,2002
36,Wanted,2.99,2008
37,A Rainy Day in New York,2.60,2019
38,Caché,4.06,2005
39,Harry Potter 20th Anniversary: Return to Hogwarts,3.87,2022
40,Mona Lisa Smile,3.60,2003
41,Die Hard With a Vengeance,3.70,1995
42,It Happened One Night,4.15,1934
43,The Maltese Falcon,3.92,1941
44,The Gift,3.33,2015
45,Friday the 13th Part 2,3.00,1981
46,The Sandlot,3.74,1993
47,The Book of Life,3.62,2014
48,Spy,3.18,2015
49,Mustang,4.15,2015
50,Dreams,4.19,1990
51,Hellraiser,2.90,2022
52,To All the Boys: Always and Forever,2.56,2021
53,Mary Poppins Returns,3.03,2018
54,Easy Rider,3.75,1969
55,Vicky Cristina Barcelona,3.45,2008
56,The Color of Pomegranates,4.13,1969
57,The Road,3.65,2009
58,Braindead,3.94,1992
59,Chicken Run: Dawn of the Nugget,3.10,2023
60,Onibaba,4.08,1964
61,Superman,3.69,1978
62,The Lodge,3.11,2019
63,Maleficent: Mistress of Evil,2.94,2019
64,Van Helsing,2.74,2004
65,Blue Jasmine,3.66,2013
66,A Nightmare on Elm Street Part 2: Freddy's Revenge,2.81,1985
67,John Tucker Must Die,3.03,2006
68,Roald Dahl's Matilda the Musical,3.39,2022
69,Miller's Crossing,4.00,1990
70,Central Intelligence,2.68,2016
71,Trolls,2.73,2016
72,Scanners,3.47,1981
1,Wendell & Wild,3.39,2022
2,Bronson,3.64,2008
3,Hitch,3.04,2005
4,"Aguirre, the Wrath of God",4.12,1972
5,Carrie,2.52,2013
6,Lethal Weapon,3.73,1987
7,You Are So Not Invited to My Bat Mitzvah,2.65,2023
8,Con Air,3.42,1997
9,Tombstone,3.86,1993
10,Halloween III: Season of the Witch,2.86,1982
11,Funeral Parade of Roses,4.31,1969
12,Sexy Beast,3.93,2000
13,Incantation,3.20,2022
14,His House,3.44,2020
15,Die Hard 2,3.32,1990
16,The Last Airbender,1.09,2010
17,Ma Rainey's Black Bottom,3.50,2020
18,Alice Through the Looking Glass,2.75,2016
19,Master and Commander: The Far Side of the World,3.95,2003
20,The Old Guard,3.04,2020
21,Horton Hears a Who!,3.05,2008
22,Goodnight Mommy,3.37,2014
23,What Ever Happened to Baby Jane?,4.17,1962
24,Angel's Egg,4.15,1985
25,The Little Things,2.59,2021
26,Nosferatu the Vampyre,3.85,1979
27,National Theatre Live: Fleabag,4.61,2019
28,Night on Earth,3.98,1991
29,Fractured,3.00,2019
30,Hachi: A Dog's Tale,3.79,2009
31,Tucker and Dale vs. Evil,3.66,2010
32,Kajillionaire,3.69,2020
33,Love Exposure,4.37,2008
34,A Nightmare on Elm Street 3: Dream Warriors,3.52,1987
35,A Tale of Two Sisters,3.70,2003
36,Bao,3.91,2018
37,Crawl,2.88,2019
38,Man on Fire,3.68,2004
39,The Celebration,4.29,1998
40,True Lies,3.59,1994
41,Monte Carlo,3.24,2011
42,"South Park: Bigger, Longer & Uncut",3.83,1999
43,Under Paris,2.14,2024
44,After,1.56,2019
45,Picnic at Hanging Rock,3.83,1975
46,The Searchers,3.94,1956
47,Kung Fu Hustle,3.96,2004
48,Instant Family,3.42,2018
49,Creep 2,3.32,2017
50,Sisu,3.25,2022
51,Bride of Frankenstein,3.97,1935
52,Throne of Blood,4.27,1957
53,Oddity,3.44,2024
54,The Girl Next Door,2.90,2004
55,Extraction 2,3.22,2023
56,Pet Sematary,2.35,2019
57,Nacho Libre,3.30,2006
58,Pride,4.12,2014
59,Tomb Raider,2.73,2018
60,Austin Powers in Goldmember,3.01,2002
61,Ticket to Paradise,2.74,2022
62,Batman: Mask of the Phantasm,4.02,1993
63,Annabelle Comes Home,2.53,2019
64,My Dinner with Andre,4.10,1981
65,Chappie,3.07,2015
66,Up in the Air,3.57,2009
67,Meet the Fockers,2.93,2004
68,The Wedding Singer,3.39,1998
69,Valerian and the City of a Thousand Planets,2.65,2017
70,Lemonade Mouth,3.57,2011
71,Velvet Buzzsaw,2.42,2019
72,Fantastic Four,1.33,2015
1,Julie & Julia,3.43,2009
2,The Battle of Algiers,4.41,1966
3,Paper Moon,4.34,1973
4,Kill Your Darlings,3.44,2013
5,Purple Hearts,2.28,2022
6,Dr. No,3.44,1962
7,Krampus,2.89,2015
8,JFK,4.04,1991
9,The Straight Story,4.13,1999
10,Freddy vs. Jason,2.71,2003
11,Long Shot,3.22,2019
12,The Act of Killing,4.38,2012
13,Lolita,3.14,1997
14,Imagine Me & You,3.79,2005
15,Magic Mike,2.98,2012
16,The Platform 2,2.14,2024
17,The Sacrifice,4.31,1986
18,Big Little Lies,4.33,2017
19,Lord of War,3.58,2005
20,While You Were Sleeping,3.51,1995
21,Bringing Out the Dead,3.73,1999
22,In the Tall Grass,2.40,2019
23,Blade II,3.27,2002
24,Saturday Night Fever,3.22,1977
25,Contempt,3.85,1963
26,The Emoji Movie,1.27,2017
27,The Last of the Mohicans,3.67,1992
28,Marrowbone,3.51,2017
29,Eurovision Song Contest: The Story of Fire Saga,2.78,2020
30,The Eyes of Tammy Faye,3.30,2021
31,AVP: Alien vs. Predator,2.56,2004
32,Monster,3.65,2003
33,9,3.43,2009
34,Legend,3.24,2015
35,Stranger Than Fiction,3.62,2006
36,The Player,4.01,1992
37,"sex, lies, and videotape",3.87,1989
38,Reality,3.27,2023
39,What Happened to Monday,3.12,2017
40,The Purge: Anarchy,2.84,2014
41,Ghost in the Shell,2.59,2017
42,To Die For,3.64,1995
43,James and the Giant Peach,3.35,1996
44,Scenes from a Marriage,4.37,1974
45,The Abyss,3.72,1989
46,Saw 3D,2.31,2010
47,3:10 to Yuma,3.75,2007
48,Hulk,2.40,2003
49,The Strange Thing About the Johnsons,3.20,2011
50,Public Enemies,3.20,2009
51,The Sea Beast,3.40,2022
52,Rush Hour 2,3.34,2001
53,Anchorman 2: The Legend Continues,2.94,2013
54,Force Majeure,3.88,2014
55,The Secret in Their Eyes,4.20,2009
56,Benedetta,3.45,2021
57,"Good Morning, Vietnam",3.67,1987
58,Following,3.47,1998
59,The Count of Monte-Cristo,4.13,2024
60,Gone Baby Gone,3.74,2007
61,Dances with Wolves,3.87,1990
62,The Insider,4.07,1999
63,The Hours,3.84,2002
64,The Beach,3.16,2000
65,The Miseducation of Cameron Post,3.48,2018
66,The Babysitter: Killer Queen,2.50,2020
67,The Great Escape,4.14,1963
68,Repulsion,3.92,1965
69,Mad Max Beyond Thunderdome,2.96,1985
70,Men in Black: International,2.18,2019
71,Dead Man,3.90,1995
72,The Good Nurse,3.22,2022
1,GoldenEye,3.55,1995
2,28 Weeks Later,3.13,2007
3,I Lost My Body,3.81,2019
4,Scary Movie 3,2.68,2003
5,Broker,3.78,2022
6,Haunted Mansion,2.64,2023
7,Big Eyes,3.35,2014
8,Allegiant,2.04,2016
9,Friday,3.56,1995
10,The Tomorrow War,2.70,2021
11,Sex and the City,3.05,2008
12,Sleepers,3.70,1996
13,Who's Afraid of Virginia Woolf?,4.26,1966
14,The Happening,2.07,2008
15,The Discreet Charm of the Bourgeoisie,4.01,1972
16,Road to Perdition,3.79,2002
17,Sherlock Jr.,4.37,1924
18,Love at First Sight,3.11,2023
19,Bad Boys II,3.21,2003
20,The Adventures of Sharkboy and Lavagirl,2.54,2005
21,Bad Boys for Life,2.91,2020
22,A Family Affair,1.96,2024
23,Brightburn,2.63,2019
24,Still Alice,3.71,2014
25,Spartacus,3.85,1960
26,Disobedience,3.49,2017
27,Perfume: The Story of a Murderer,3.58,2006
28,Fanny and Alexander,4.42,1982
29,Burlesque,3.34,2010
30,Garfield,2.47,2004
31,Pet Sematary,3.23,1989
32,"Oslo, August 31st",4.09,2011
33,The Garden of Words,3.44,2013
34,The Fox and the Hound,3.67,1981
35,The Kissing Booth 2,1.47,2020
36,Ben-Hur,4.04,1959
37,Notorious,4.09,1946
38,Say Anything...,3.59,1989
39,Frank,3.59,2014
40,Oculus,3.19,2013
41,How to Blow Up a Pipeline,3.76,2022
42,Downsizing,2.36,2017
43,Hard Candy,3.49,2005
44,Safe,3.96,1995
45,Diabolique,4.18,1955
46,The Bridge on the River Kwai,4.24,1957
47,The Bob's Burgers Movie,3.53,2022
48,eXistenZ,3.60,1999
49,His Girl Friday,4.04,1940
50,Battleship Potemkin,4.00,1925
51,One Hour Photo,3.47,2002
52,Anatomy of a Murder,4.23,1959
53,On the Count of Three,3.82,2021
54,Bros,3.07,2022
55,Willy's Wonderland,2.62,2021
56,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,3.94,2020
57,Blended,3.00,2014
58,Jack Reacher,3.18,2012
59,Always Be My Maybe,3.06,2019
60,May,3.59,2002
61,Euphoria: F*ck Anyone Who’s Not a Sea Blob,4.20,2021
62,The Way Way Back,3.65,2013
63,Brief Encounter,4.32,1945
64,The Last Picture Show,4.20,1971
65,Naked Lunch,3.73,1991
66,Man with a Movie Camera,4.28,1929
67,Hellboy II: The Golden Army,3.42,2008
68,Holy Motors,3.91,2012
69,Tinker Tailor Soldier Spy,3.66,2011
70,The Harder They Fall,3.52,2021
71,Good Bye Lenin!,3.87,2003
72,The Purge: Election Year,2.64,2016
1,Fright Night,3.55,1985
2,Drop Dead Gorgeous,3.83,1999
3,The Chronicles of Narnia: The Voyage of the Dawn Treader,2.86,2010
4,A Real Pain,3.83,2024
5,Friday the 13th,2.51,2009
6,Valentine's Day,2.65,2010
7,EO,3.56,2022
8,Death Note,4.36,2006
9,Evil Does Not Exist,3.81,2023
10,The Empty Man,3.15,2020
11,Dark City,3.70,1998
12,Velvet Goldmine,3.81,1998
13,Red Sparrow,2.89,2018
14,Spaceman,2.94,2024
15,Don Jon,2.86,2013
16,5 Centimeters per Second,3.53,2007
17,Woman in the Dunes,4.45,1964
18,She-Hulk: Attorney at Law,2.32,2022
19,Koyaanisqatsi,4.31,1982
20,The Hitman's Bodyguard,3.05,2017
21,The Garfield Movie,2.51,2024
22,Awakenings,3.91,1990
23,Spiderhead,2.52,2022
24,Pleasantville,3.68,1998
25,Thirst,3.78,2009
26,Dressed to Kill,3.64,1980
27,A Single Man,3.90,2009
28,Downfall,4.11,2004
29,3 Women,4.14,1977
30,Touch of Evil,4.17,1958
31,Babe,3.40,1995
32,Memoria,3.77,2021
33,Personal Shopper,3.40,2016
34,Home,2.75,2015
35,The Shallows,2.92,2016
36,The Taste of Things,3.95,2023
37,Flight,3.44,2012
38,Amy,4.04,2015
39,The Penguin,4.49,2024
40,The Rock,3.56,1996
41,Vagabond,4.10,1985
42,13th,4.31,2016
43,A League of Their Own,3.78,1992
44,Ocean Waves,3.08,1993
45,A Dog's Will,4.13,2000
46,Final Destination 5,2.77,2011
47,Wrath of Man,3.21,2021
48,Jingle All the Way,2.88,1996
49,Triangle,3.37,2009
50,To the Bone,3.00,2017
51,Song of the Sea,4.22,2014
52,6 Underground,2.50,2019
53,Ghost Dog: The Way of the Samurai,4.02,1999
54,Miami Vice,3.42,2006
55,"I Love You, Man",3.35,2009
56,Terminator 3: Rise of the Machines,2.68,2003
57,Galaxy Quest,3.71,1999
58,Hoodwinked!,3.29,2005
59,Flee,4.20,2021
60,Nymphomaniac: Vol. II,3.30,2013
61,Cool Hand Luke,4.15,1967
62,Peeping Tom,4.02,1960
63,The Doom Generation,3.75,1995
64,Bride of Chucky,3.15,1998
65,Night at the Museum: Secret of the Tomb,2.78,2014
66,Halloween,2.74,2007
67,Deliverance,3.86,1972
68,Identity,3.41,2003
69,The Faculty,3.34,1998
70,Forgotten,3.71,2017
71,Wolf Children,4.11,2012
72,The Final Destination,2.14,2009
1,Pearl Harbor,2.80,2001
2,The Color of Money,3.70,1986
3,Nostalgia,4.27,1983
4,Satantango,4.37,1994
5,Night Swim,1.70,2024
6,Capernaum,4.16,2018
7,A Hidden Life,4.03,2019
8,Pink Floyd: The Wall,4.11,1982
9,San Andreas,2.46,2015
10,Transformers: The Last Knight,1.88,2017
11,If Anything Happens I Love You,3.82,2020
12,Coach Carter,3.74,2005
13,Percy Jackson: Sea of Monsters,2.10,2013
14,The Return of the Living Dead,3.80,1985
15,Scott Pilgrim Takes Off,4.15,2023
16,Empire of the Sun,3.83,1987
17,Death Note,1.49,2017
18,The Strangers: Chapter 1,1.85,2024
19,Thelma,3.70,2017
20,The Other Woman,2.96,2014
21,Glengarry Glen Ross,3.93,1992
22,Daredevil,2.13,2003
23,Get Smart,2.88,2008
24,Eat Pray Love,2.88,2010
25,The Color Purple,3.55,2023
26,Das Boot,4.30,1981
27,Welcome to the Dollhouse,3.69,1995
28,Munich,3.81,2005
29,You People,2.22,2023
30,Terminator: Dark Fate,2.60,2019
31,Belle,3.47,2021
32,Bringing Up Baby,3.99,1938
33,Black Bear,3.56,2020
34,NYAD,3.29,2023
35,Attack the Block,3.58,2011
36,Enter the Dragon,3.81,1973
37,Moonfall,1.93,2022
38,The Last Voyage of the Demeter,2.62,2023
39,20th Century Girl,3.96,2022
40,Moonage Daydream,4.02,2022
41,Ammonite,3.04,2020
42,The Beast,3.68,2023
43,Paul Blart: Mall Cop,2.41,2009
44,Triple Frontier,2.99,2019
45,Speak,3.78,2004
46,National Treasure: Book of Secrets,2.94,2007
47,The Equalizer 3,3.05,2023
48,Hell House LLC,3.07,2015
49,Ivan's Childhood,4.19,1962
50,Uncle Boonmee Who Can Recall His Past Lives,3.92,2010
51,The Boy,2.55,2016
52,Bridget Jones: The Edge of Reason,2.95,2004
53,Jackass: The Movie,3.36,2002
54,Tomorrowland,2.65,2015
55,3 Idiots,4.08,2009
56,Ida,4.04,2013
57,Jawbreaker,3.38,1999
58,Body Double,3.77,1984
59,Nashville,4.15,1975
60,Last Christmas,2.83,2019
61,American Made,3.40,2017
62,To Catch a Thief,3.70,1955
63,Foxcatcher,3.56,2014
64,My Octopus Teacher,3.80,2020
65,My Fair Lady,3.61,1964
66,Teen Beach Movie,3.33,2013
67,Tomboy,3.98,2011
68,Deep Water,2.29,2022
69,Cam,2.88,2018
70,Fruitvale Station,3.93,2013
71,V/H/S,2.80,2012
72,Reality Bites,3.42,1994
1,The Watermelon Woman,4.04,1996
2,Match Point,3.66,2005
3,Mama,2.72,2013
4,Police Story,4.02,1985
5,Hot Summer Nights,2.88,2017
6,Emilia Pérez,3.17,2024
7,Planet Terror,3.36,2007
8,Paper Towns,2.41,2015
9,Black Mirror: Loch Henry,3.52,2023
10,The Magnificent Seven,3.11,2016
11,The Hitchhiker's Guide to the Galaxy,3.35,2005
12,Carnival of Souls,3.77,1962
13,Take Shelter,3.82,2011
14,The Fall of the House of Usher,3.95,2023
15,Gremlins 2: The New Batch,3.49,1990
16,Freaks,3.93,1932
17,Babyteeth,3.75,2019
18,The Teachers' Lounge,3.77,2023
19,Sabrina,3.83,1954
20,Wild Things,3.11,1998
21,From Russia with Love,3.61,1963
22,The Human Centipede (First Sequence),1.90,2009
23,"The Cook, the Thief, His Wife & Her Lover",4.17,1989
24,Next Goal Wins,3.05,2023
25,Cheaper by the Dozen,3.05,2003
26,Blockers,2.97,2018
27,Sister Act,3.49,1992
28,Time Cut,2.04,2024
29,Foe,2.63,2023
30,Prince of Darkness,3.58,1987
31,Oz the Great and Powerful,2.58,2013
32,Road House,3.41,1989
33,Descendants,3.06,2015
34,Elvira: Mistress of the Dark,3.70,1988
35,Kwaidan,4.22,1964
36,Hundreds of Beavers,4.17,2022
37,SLC Punk,3.79,1998
38,Risky Business,3.41,1983
39,The Orphanage,3.64,2007
40,Fighting with My Family,3.37,2019
41,Never Been Kissed,2.61,1999
42,Snow White and the Huntsman,2.53,2012
43,Penguins of Madagascar,3.06,2014
44,Fences,3.61,2016
45,Black Mirror: Beyond the Sea,3.58,2023
46,The Call,3.58,2020
47,A Different Man,3.82,2024
48,Hard Eight,3.63,1996
49,Wildlife,3.61,2018
50,On the Rocks,3.15,2020
51,The Predator,2.12,2018
52,I Origins,3.63,2014
53,Ms. Marvel,2.83,2022
54,Bad Education,3.94,2004
55,Tiger King,3.49,2020
56,Circle,2.56,2015
57,Mud,3.70,2012
58,Millennium Mambo,3.86,2001
59,Masculin Féminin,3.80,1966
60,Shakespeare in Love,3.29,1998
61,Nights of Cabiria,4.38,1957
62,Overlord,3.23,2018
63,Wicked Little Letters,3.45,2023
64,Humanist Vampire Seeking Consenting Suicidal Person,3.89,2023
65,Mikey and Nicky,4.06,1976
66,Grizzly Man,4.13,2005
67,Cries and Whispers,4.21,1972
68,Dolemite Is My Name,3.65,2019
69,La Notte,4.28,1961
70,Man on the Moon,3.80,1999
71,The General,4.20,1926
72,He's All That,1.21,2021
1,Alvin and the Chipmunks: The Squeakquel,2.28,2009
2,The Equalizer 2,3.04,2018
3,The Green Ray,4.17,1986
4,Dope,3.51,2015
5,Joy,3.12,2015
6,The Texas Chainsaw Massacre 2,3.16,1986
7,The Italian Job,3.19,2003
8,His Three Daughters,3.83,2023
9,The Quiet Girl,4.06,2022
10,The Taking of Deborah Logan,2.99,2014
11,Confessions of a Teenage Drama Queen,3.03,2004
12,The Smurfs,2.32,2011
13,A Summer's Tale,4.10,1996
14,Barbie as The Princess & the Pauper,3.93,2004
