rank,title,rating,release_year
37,Asteroid City,3.51,2023
38,John Wick,3.82,2014
39,Amélie,4.18,2001
40,Barbarian,3.47,2022
41,The Nightmare Before Christmas,3.96,1993
42,The Notebook,3.77,2004
43,The Lion King,4.22,1994
44,Gladiator,4.12,2000
45,Tangled,3.96,2010
46,Schindler's List,4.52,1993
47,Princess Mononoke,4.38,1997
48,Star Wars: The Force Awakens,3.29,2015
49,Harry Potter and the Deathly Hallows: Part 2,3.97,2011
50,Captain America: The Winter Soldier,3.72,2014
51,Juno,3.75,2007
52,Babylon,3.83,2022
53,Bohemian Rhapsody,3.44,2018
54,Bodies Bodies Bodies,3.30,2022
55,Jaws,3.96,1975
56,Twilight,2.96,2008
57,Star Wars: Episode III – Revenge of the Sith,3.87,2005
58,Talk to Me,3.53,2022
59,Priscilla,3.55,2023
60,The Lobster,3.77,2015
61,Clueless,3.72,1995
62,Deadpool 2,3.49,2018
63,Split,3.48,2016
64,Harry Potter and the Order of the Phoenix,3.66,2007
65,Perfect Blue,4.39,1997
66,The Whale,3.66,2022
67,There Will Be Blood,4.45,2007
68,The French Dispatch,3.68,2021
69,Return of the Jedi,4.05,1983
70,Ex Machina,3.98,2015
71,Shrek 2,4.07,2004
72,The Departed,4.31,2006
1,Don't Worry Darling,2.99,2022
2,The Iron Claw,4.10,2023
3,Edward Scissorhands,3.88,1990
4,Avengers: Age of Ultron,3.12,2015
5,The Thing,4.35,1982
6,12 Angry Men,4.63,1957
7,Logan,4.12,2017
8,The Martian,3.76,2015
9,About Time,4.03,2013
10,Mulholland Drive,4.24,2001
11,Scarface,4.12,1983
12,Harry Potter and the Half-Blood Prince,3.68,2009
13,Fargo,4.21,1996
14,Bones and All,3.68,2022
15,The Zone of Interest,3.86,2023
16,The Godfather Part II,4.59,1974
17,Thor: Love and Thunder,2.44,2022
18,Harry Potter and the Deathly Hallows: Part 1,3.70,2010
19,Jennifer's Body,3.44,2009
20,Léon: The Professional,4.02,1994
21,Pirates of the Caribbean: The Curse of the Black Pearl,3.94,2003
22,Birdman or (The Unexpected Virtue of Ignorance),4.00,2014
23,Kill Bill: Vol. 2,4.07,2004
24,Star Wars: Episode I – The Phantom Menace,2.95,1999
25,No Hard Feelings,3.04,2023
26,The Suicide Squad,3.49,2021
27,Trainspotting,4.21,1996
28,"I, Tonya",3.86,2017
29,Last Night in Soho,3.41,2021
30,The Big Lebowski,4.13,1998
31,"Girl, Interrupted",3.91,1999
32,The Amazing Spider-Man,3.35,2012
33,Encanto,3.52,2021
34,Society of the Snow,4.14,2023
35,Ferris Bueller's Day Off,3.94,1986
36,The Virgin Suicides,3.84,1999
37,Star Wars: The Last Jedi,2.95,2017
38,Moonrise Kingdom,4.02,2012
39,Black Widow,2.92,2021
40,Saving Private Ryan,4.24,1998
41,Eyes Wide Shut,4.00,1999
42,Your Name.,4.22,2016
43,Beautiful Boy,3.94,2018
44,Captain Marvel,2.68,2019
45,Captain America: The First Avenger,3.28,2011
46,Rogue One: A Star Wars Story,3.74,2016
47,The Nice Guys,3.83,2016
48,Apocalypse Now,4.44,1979
49,Five Nights at Freddy's,2.56,2023
50,Shang-Chi and the Legend of the Ten Rings,3.43,2021
51,The Florida Project,4.10,2017
52,American Beauty,3.96,1999
53,The Great Gatsby,3.40,2013
54,Corpse Bride,3.85,2005
55,Ant-Man,3.23,2015
56,The Revenant,3.88,2015
57,The Favourite,4.02,2018
58,The Worst Person in the World,4.11,2021
59,Civil War,3.58,2024
60,Luca,3.73,2021
61,The Pianist,4.38,2002
62,Toy Story 3,4.00,2010
63,Elvis,3.35,2022
64,BlacKkKlansman,3.95,2018
65,In the Mood for Love,4.40,2000
66,Isle of Dogs,3.99,2018
67,Zootopia,3.71,2016
68,How to Lose a Guy in 10 Days,3.65,2003
69,Black Panther: Wakanda Forever,3.34,2022
70,The Shape of Water,3.67,2017
71,Alien: Romulus,3.63,2024
72,Legally Blonde,3.80,2001
1,Smile,2.82,2022
2,The Conjuring,3.58,2013
3,The Hateful Eight,3.96,2015
4,Furiosa: A Mad Max Saga,3.83,2024
5,Star Wars: Episode II – Attack of the Clones,2.88,2002
6,Halloween,3.79,1978
7,Moana,3.72,2016
8,City of God,4.54,2002
9,Charlie and the Chocolate Factory,3.25,2005
10,Raiders of the Lost Ark,4.16,1981
11,The Hangover,3.63,2009
12,The Sixth Sense,4.04,1999
13,Turning Red,3.49,2022
14,Cars,3.74,2006
15,Spider-Man 3,3.08,2007
16,How to Train Your Dragon,4.04,2010
17,The Handmaiden,4.41,2016
18,When Harry Met Sally...,4.06,1989
19,Star Wars: The Rise of Skywalker,2.34,2019
20,Kingsman: The Secret Service,3.73,2014
21,Triangle of Sadness,3.69,2022
22,Shaun of the Dead,3.97,2004
23,Big Hero 6,3.79,2014
24,Iron Man 3,3.02,2013
25,Booksmart,3.74,2019
26,Frozen,3.41,2013
27,Incredibles 2,3.44,2018
28,Suicide Squad,2.10,2016
29,"Crazy, Stupid, Love.",3.68,2011
30,The Royal Tenenbaums,4.11,2001
31,Toy Story 2,3.93,1999
32,Iron Man 2,2.89,2010
33,Vertigo,4.24,1958
34,La Haine,4.51,1995
35,Thor,2.80,2011
36,The Killing of a Sacred Deer,3.73,2017
37,Sound of Metal,4.20,2019
38,The Hunger Games: Mockingjay – Part 1,3.24,2014
39,13 Going on 30,3.60,2004
40,The Black Phone,3.26,2021
41,Godzilla Minus One,4.07,2023
42,The Northman,3.79,2022
43,Die Hard,4.07,1988
44,Ponyo,4.08,2008
45,All Quiet on the Western Front,4.01,2022
46,Stand by Me,4.16,1986
47,mother!,3.48,2017
48,Ocean's Eleven,3.91,2001
49,Kiki's Delivery Service,4.13,1989
50,"tick, tick... BOOM!",3.83,2021
51,Grave of the Fireflies,4.46,1988
52,Pan's Labyrinth,4.16,2006
53,Licorice Pizza,3.58,2021
54,All of Us Strangers,3.93,2023
55,The Exorcist,3.98,1973
56,The Fall Guy,3.45,2024
57,MaXXXine,3.10,2024
58,Twisters,3.33,2024
59,John Wick: Chapter 4,3.92,2023
60,E.T. the Extra-Terrestrial,3.84,1982
61,One Flew Over the Cuckoo's Nest,4.36,1975
62,TÁR,3.94,2022
63,Eternals,2.72,2021
64,The Irishman,3.91,2019
65,Cruella,3.46,2021
66,Manchester by the Sea,4.11,2016
67,Before Sunset,4.34,2004
68,Beetlejuice Beetlejuice,3.30,2024
69,Kung Fu Panda,3.87,2008
70,Venom,2.88,2018
71,The Killer,3.39,2023
72,Train to Busan,3.96,2016
1,Promising Young Woman,3.67,2020
2,The Hunger Games: Mockingjay – Part 2,3.33,2015
3,Notting Hill,3.65,1999
4,The Green Mile,4.23,1999
5,Heat,4.28,1995
6,The Amazing Spider-Man 2,2.97,2014
7,Fallen Angels,4.19,1995
8,Full Metal Jacket,4.21,1987
9,Easy A,3.42,2010
10,May December,3.68,2023
11,Chungking Express,4.29,1994
12,Ready or Not,3.54,2019
13,A Star Is Born,3.62,2018
14,The Imitation Game,3.81,2014
15,Trap,2.71,2024
16,Casablanca,4.27,1942
17,Annihilation,3.57,2018
18,The Big Short,3.82,2015
19,The Texas Chain Saw Massacre,3.83,1974
20,Memories of Murder,4.41,2003
21,Late Night with the Devil,3.39,2023
22,Carrie,3.85,1976
23,Free Guy,3.04,2021
24,Saw,3.63,2004
25,The Lego Movie,3.80,2014
26,School of Rock,3.77,2003
27,Toy Story 4,3.39,2019
28,I Saw the TV Glow,3.53,2024
29,Wonder Woman,3.26,2017
30,It Chapter Two,2.89,2019
31,Top Gun,3.40,1986
32,Frances Ha,4.04,2012
33,Palm Springs,3.77,2020
34,Ant-Man and the Wasp,2.87,2018
35,The Fabelmans,4.01,2022
36,Pretty Woman,3.65,1990
37,Aliens,4.12,1986
38,Ready Player One,3.26,2018
39,Love Lies Bleeding,3.57,2024
40,The Rocky Horror Picture Show,4.02,1975
41,Silver Linings Playbook,3.69,2012
42,Rear Window,4.37,1954
43,The Princess Bride,4.06,1987
44,John Wick: Chapter 2,3.70,2017
45,Elemental,3.32,2023
46,Zombieland,3.53,2009
47,Scream,3.22,2022
48,Citizen Kane,4.20,1941
49,Green Book,3.75,2018
50,21 Jump Street,3.59,2012
51,Midnight in Paris,3.71,2011
52,Good Time,4.00,2017
53,Perfect Days,4.28,2023
54,Akira,4.28,1988
55,Scream VI,3.38,2023
56,Thor: The Dark World,2.23,2013
57,mid90s,3.78,2018
58,Pitch Perfect,3.51,2012
59,A Quiet Place: Day One,3.19,2024
60,Joker: Folie à Deux,2.46,2024
61,"Paris, Texas",4.39,1984
62,The Wild Robot,4.25,2024
63,A Quiet Place Part II,3.43,2020
64,Mulan,4.11,1998
65,Love Actually,3.47,2003
66,Ford v Ferrari,3.97,2019
67,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),3.03,2020
68,Hot Fuzz,4.08,2007
69,"Three Billboards Outside Ebbing, Missouri",4.04,2017
70,It Follows,3.46,2014
71,The Queen's Gambit,4.23,2020
72,Blue Velvet,4.09,1986
1,Monkey Man,3.73,2024
2,Leave the World Behind,2.85,2023
3,Children of Men,4.30,2006
4,Ant-Man and the Wasp: Quantumania,2.24,2023
5,Beau Is Afraid,3.44,2023
6,Shiva Baby,3.84,2020
7,V for Vendetta,3.85,2005
8,John Wick: Chapter 3 – Parabellum,3.68,2019
9,Suspiria,3.94,1977
10,The Greatest Showman,3.41,2017
11,Guillermo del Toro's Pinocchio,3.98,2022
12,The Curious Case of Benjamin Button,3.64,2008
13,Marie Antoinette,3.73,2006
14,Come and See,4.63,1985
15,The Edge of Seventeen,3.52,2016
16,The Princess Diaries,3.67,2001
17,"The Good, the Bad and the Ugly",4.50,1966
18,Snowpiercer,3.68,2013
19,But I'm a Cheerleader,4.00,1999
20,Minari,4.09,2020
21,Evil Dead Rise,3.16,2023
22,M3GAN,2.77,2022
23,Bird Box,2.87,2018
24,Sicario,3.98,2015
25,Room,3.97,2015
26,A Nightmare on Elm Street,3.72,1984
27,Brave,3.37,2012
28,Carol,4.01,2015
29,The Blair Witch Project,3.31,1999
30,Boyhood,3.83,2014
31,Alice in Wonderland,3.15,2010
32,Grease,3.51,1978
33,The Terminator,3.89,1984
34,Wreck-It Ralph,3.59,2012
35,Punch-Drunk Love,3.99,2002
36,Phantom Thread,4.14,2017
37,The Green Knight,3.69,2021
38,Terminator 2: Judgment Day,4.29,1991
39,Rise of the Planet of the Apes,3.64,2011
40,Suspiria,3.73,2018
41,Dungeons & Dragons: Honor Among Thieves,3.52,2023
42,Fantastic Beasts and Where to Find Them,3.14,2016
43,The Maze Runner,3.37,2014
44,Mr. & Mrs. Smith,3.22,2005
45,Rocky,4.08,1976
46,No Time to Die,3.50,2021
47,Ghostbusters,3.76,1984
48,The Cabin in the Woods,3.40,2011
49,Pirates of the Caribbean: Dead Man's Chest,3.65,2006
50,Anora,4.17,2024
51,Jurassic World,3.04,2015
52,Gravity,3.51,2013
53,X-Men: Days of Future Past,3.66,2014
54,Mission: Impossible – Dead Reckoning,3.73,2023
55,Crazy Rich Asians,3.49,2018
56,Another Round,4.09,2020
57,Skyfall,3.91,2012
58,Almost Famous,4.05,2000
59,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.30,1964
60,Kinds of Kindness,3.36,2024
61,Back to the Future Part II,3.88,1989
62,Mean Girls,2.61,2024
63,Rosemary's Baby,4.21,1968
64,Ocean's Eight,3.32,2018
65,Heathers,3.76,1989
66,The Usual Suspects,4.07,1995
67,Nomadland,3.83,2020
68,The Idea of You,2.53,2024
69,Hacksaw Ridge,3.93,2016
70,Now You See Me,3.35,2013
71,Magnolia,4.22,1999
72,Groundhog Day,3.83,1993
1,I'm Thinking of Ending Things,3.48,2020
2,American Fiction,3.73,2023
3,Squid Game,3.72,2021
4,12 Years a Slave,4.15,2013
5,Life of Pi,3.72,2012
6,Fresh,3.41,2022
7,Finding Dory,3.25,2016
8,Despicable Me,3.56,2010
9,What We Do in the Shadows,4.12,2014
10,Boogie Nights,4.21,1997
11,The Parent Trap,3.72,1998
